Question_ID,Selected_Answer,Correct_Answer,Result
1,30,30,Correct
1,30,30,Correct
1,30,30,Correct
1,30,30,Correct
1,30,30,Correct
2,20,20,Correct
3,20%,25%,Wrong
4,1/10,1/10,Correct
5,2:3,2:3,Correct
